(Método de la Falsa Posición) ¿Qué problema busca resolver? ; Encontrar una aproximación de una raíz \(\alpha\) tal que \(f(\alpha)=0\).
(Método de la Falsa Posición) ¿Qué combinación de métodos utiliza? ; Combina la idea de la secante con el criterio de cambio de signo de la bisección.
(Método de la Falsa Posición) ¿Qué condición deben cumplir los extremos iniciales \(a\) y \(b\)? ; \(f(a)f(b) < 0\).
(Método de la Falsa Posición) ¿Qué puntos se usan para construir la recta? ; \((a_n,f(a_n))\) y \((b_n,f(b_n))\).
(Método de la Falsa Posición) ¿Cómo se obtiene \(c_n\)? ; Como la intersección con el eje \(x\) de la recta secante entre \(a_n\) y \(b_n\).
(Método de la Falsa Posición) Fórmula de \(c_n\). ; \(c_n = b_n - f(b_n)\dfrac{b_n-a_n}{f(b_n)-f(a_n)}\).
(Método de la Falsa Posición) Si \(f(a_n)f(c_n) < 0\), ¿cómo se actualiza el intervalo? ; \(a_{n+1}=a_n,\; b_{n+1}=c_n\).
(Método de la Falsa Posición) Si \(f(b_n)f(c_n) < 0\), ¿cómo se actualiza el intervalo? ; \(a_{n+1}=c_n,\; b_{n+1}=b_n\).
(Método de la Falsa Posición) Si \(f(c_n)=0\), ¿qué ocurre? ; \(\alpha=c_n\).
(Método de la Falsa Posición) ¿Qué propiedad importante hereda de la bisección? ; La raíz permanece acotada en el intervalo.
(Método de la Falsa Posición) ¿La convergencia está garantizada? ; Sí.
(Método de la Falsa Posición) Comparado con la secante, ¿cómo suele ser? ; Más lento.
(Método de la Falsa Posición) ¿Por qué puede volverse lento? ; Porque a veces un extremo del intervalo queda fijo durante muchas iteraciones.
(Método de la Falsa Posición) ¿Requiere derivadas? ; No.
(Método de la Falsa Posición) ¿Es un método de uno o dos puntos? ; De dos puntos.
(Método de la Falsa Posición) Completar: la condición inicial es \(f(a)f(b) \_\_\_\_\). ; \(< 0\).
(Método de la Falsa Posición) Completar: \(c_n = b_n - \_\_\_\_\). ; \(f(b_n)\dfrac{b_n-a_n}{f(b_n)-f(a_n)}\).
(Método de la Falsa Posición) Completar: si \(f(a_n)f(c_n) < 0\) entonces \(b_{n+1}=\_\_\_\_\). ; \(c_n\).
(Método de la Falsa Posición) Completar: si \(f(b_n)f(c_n) < 0\) entonces \(a_{n+1}=\_\_\_\_\). ; \(c_n\).
(Método de la Falsa Posición) ¿Qué interpretación geométrica tiene \(c_n\)? ; El corte con el eje \(x\) de la secante dentro del intervalo.
(Método de la Falsa Posición) ¿Qué tipo de convergencia tiene en general? ; Lineal.
